,property_id,property_label,person_count,rank,coverage_%
596,P4192,Ligue Nationale de Handball player ID,1,597,0.1
597,P2383,CTHS person ID,1,598,0.1
598,P6150,Academy Awards Database nominee ID,1,599,0.1
599,P3389,Royal Swedish Academy of Letters member ID,1,600,0.1
600,P13906,NLAI ID,1,601,0.1
601,P5715,Academia.edu profile URL,1,602,0.1
602,P2191,Vegetti Catalog of Fantastic Literature NILF ID,1,603,0.1
603,P8879,Kinorium person ID,1,604,0.1
604,P6083,Cineuropa person ID,1,605,0.1
605,P5033,Filmweb.pl person ID,1,606,0.1
606,P6119,Letterboxd actor ID,1,607,0.1
607,P1263,Notable Names Database ID,1,608,0.1
608,P4489,Hellenic Olympic Committee athlete ID (archived),1,609,0.1
609,P6404,Treccani's Dizionario di Storia ID,1,610,0.1
610,P2650,interested in,1,611,0.1
611,P6706,De Agostini ID,1,612,0.1
612,P9231,Archivo Linz de la Transición Española ID,1,613,0.1
613,P9482,Catalogue of the General State Archives ID,1,614,0.1
614,P8793,Quirinale ID,1,615,0.1
615,P361,part of,1,616,0.1
616,P10297,Google Arts & Culture entity ID,1,617,0.1
617,P11835,Numista ruling authority ID,1,618,0.1
618,P12086,WikiKids ID,1,619,0.1
619,P8885,Namuwiki ID,1,620,0.1
620,P8669,Encyclopaedia Beliana ID,1,621,0.1
621,P14375,Bundestag Group Minutes ID,1,622,0.1
622,P3654,Chess.com member ID,1,623,0.1
623,P9686,Classical Archives composer ID,1,624,0.1
624,P13818,AGORHA UUID,1,625,0.1
625,P2018,Teuchos ID,1,626,0.1
626,P902,HDS ID,1,627,0.1
627,P1321,municipal affiliation of a Swiss national,1,628,0.1
628,P14191,‎Bach digital person ID,1,629,0.1
629,P460,said to be the same as,1,630,0.1
630,P10937,IRIS UNIBOCCONI author ID,1,631,0.1
631,P3316,ICCF player ID,1,632,0.1
632,P8590,Jewish Encyclopedia ID,1,633,0.1
633,P13183,JudaicaLink person (GND) ID,1,634,0.1
634,P1670,Canadiana Authorities ID (former scheme),1,635,0.1
635,P4862,Amazon author ID,1,636,0.1
636,P6872,has written for,1,637,0.1
637,P2799,BVMC person ID,1,638,0.1
638,P10881,Kieler Gelehrtenverzeichnis ID,1,639,0.1
639,P3360,Nobel Prize People Nomination ID,1,640,0.1
640,P1399,convicted of,1,641,0.1
641,P1802,Early Modern Letters Online person ID,1,642,0.1
642,P6722,FemBio ID,1,643,0.1
643,P737,influenced by,1,644,0.1
644,P4963,Svenskt kvinnobiografiskt lexikon ID,1,645,0.1
645,P9037,BHCL UUID,1,646,0.1
646,P1260,Swedish Open Cultural Heritage URI,1,647,0.1
647,P7194,AZLyrics.com artist ID,1,648,0.1
648,P4438,"BFI Films, TV and people ID",1,649,0.1
649,P10149,Original Esperanto Literature author ID,1,650,0.1
650,P3417,Quora topic ID,1,651,0.1
651,P3665,L'Équipe football player ID,1,652,0.1
652,P3655,BDFutbol player ID,1,653,0.1
653,P3681,ESPN FC player ID,1,654,0.1
654,P5740,So Foot Player ID,1,655,0.1
655,P9368,CNA topic ID,1,656,0.1
656,P11194,Famous Birthdays ID,1,657,0.1
657,P12539,Premier League player ID (archived),1,658,0.1
658,P12551,11v11 player ID,1,659,0.1
659,P10916,Süddeutsche Zeitung topic ID,1,660,0.1
660,P10234,Der Spiegel topic ID,1,661,0.1
661,P12567,StatMuse Premier League player ID,1,662,0.1
662,P12608,Statbunker player ID,1,663,0.1
663,P5570,NooSFere author ID,1,664,0.1
664,P11866,NBC Olympics athlete ID,1,665,0.1
665,P13929,‎ECHL.com player ID,1,666,0.1
666,P10231,WikiStrinda article ID,1,667,0.1
667,P6520,Lokalhistoriewiki.no article ID,1,668,0.1
